24 November 2018 01:44:54 PM

ODE_PRB
  C++ version
  Test the ODE library.

TEST01
  ODE solves a system of ordinary differential
  equations.

      T              v1              w1              v2              w2              v3              w3              v4              w4              v5              w5              v6              w6              v7              w7              v8              w8              v9              w9              v10              w10              
      0.35       0.0647303       0.0812837       0.0647303       0.0812837       0.0647303       0.0812837       0.0647303       0.0812837       0.0647303       0.0812837       0.0647303       0.0812837       0.0647432       0.0812834        0.065146       0.0812735       0.0745281       0.0809711        0.208514       0.0745746
      0.36       0.0692053        0.083341       0.0692053        0.083341       0.0692053        0.083341       0.0692053        0.083341       0.0692053        0.083341       0.0692053        0.083341       0.0692201       0.0833407       0.0696682       0.0833293       0.0797948       0.0829953        0.219667       0.0761598
      0.37       0.0738782       0.0853776       0.0738782       0.0853776       0.0738782       0.0853776       0.0738782       0.0853776       0.0738782       0.0853776       0.0738782       0.0853776       0.0738951       0.0853773       0.0743926       0.0853644       0.0853054       0.0849962        0.231319       0.0777028
      0.38       0.0787544       0.0873929       0.0787544       0.0873929       0.0787544       0.0873929       0.0787544       0.0873929       0.0787544       0.0873929       0.0787544       0.0873929       0.0787736       0.0873925       0.0793246       0.0873779       0.0910673       0.0869731        0.243325       0.0792024
      0.39       0.0838391       0.0893863       0.0838391       0.0893863       0.0838391       0.0893863       0.0838391       0.0893863       0.0838391       0.0893863       0.0838391       0.0893863        0.083861       0.0893858         0.08447       0.0893693       0.0970877        0.088925        0.255723       0.0806573
       0.4       0.0891379       0.0913571       0.0891379       0.0913571       0.0891379       0.0913571       0.0891379       0.0913571       0.0891379       0.0913571       0.0891379       0.0913571       0.0891628       0.0913565       0.0898346       0.0913379        0.103374       0.0908513        0.268591       0.0820664
      0.41       0.0946565       0.0933046       0.0946565       0.0933046       0.0946565       0.0933046       0.0946565       0.0933046       0.0946565       0.0933046       0.0946565       0.0933046       0.0946846       0.0933039       0.0954242        0.093283        0.109934        0.092751        0.281786       0.0834283
      0.42        0.100401       0.0952282        0.100401       0.0952282        0.100401       0.0952282        0.100401       0.0952282        0.100401       0.0952282        0.100401       0.0952282        0.100432       0.0952274        0.101245        0.095204        0.116775       0.0946234        0.295477       0.0847418
      0.43        0.106376       0.0971271        0.106376       0.0971271        0.106376       0.0971271        0.106376       0.0971271        0.106376       0.0971271        0.106376       0.0971271        0.106412       0.0971263        0.107303       0.0971001        0.123906       0.0964676        0.309531       0.0860055
      0.44        0.112589       0.0990007        0.112589       0.0990007        0.112589       0.0990007        0.112589       0.0990007        0.112589       0.0990007        0.112589       0.0990007        0.112629       0.0989998        0.113605       0.0989705        0.131334       0.0982826        0.324086       0.0872182
