18 November 2018 01:50:17 PM

ODE_PRB
  C++ version
  Test the ODE library.

TEST01
  ODE solves a system of ordinary differential
  equations.

      T              v1              w1              v2              w2              v3              w3              v4              w4              v5              w5              v6              w6              v7              w7              v8              w8              v9              w9              v10              w10              
       0.5        -1.38406        0.218758      -0.0228658        0.117629        0.143844        0.110055        0.154684        0.109682         0.15518        0.109668        0.155198        0.109668        0.155198        0.109668        0.155198        0.109668        0.155198        0.109668        0.155198        0.109668
      0.51        -1.40945        0.225322      -0.0246704        0.119891        0.150981        0.111768        0.162681        0.111359        0.163229        0.111343        0.163248        0.111343        0.163249        0.111343        0.163249        0.111343        0.163249        0.111343        0.163249        0.111343
      0.52         -1.4339        0.231952      -0.0265405        0.122154        0.158351        0.113452        0.170963        0.113003        0.171566        0.112986        0.171588        0.112985        0.171589        0.112985        0.171589        0.112985        0.171589        0.112985        0.171589        0.112985
      0.53        -1.45739        0.238643      -0.0284746        0.124417        0.165958        0.115107        0.179536        0.114616        0.180199        0.114596        0.180224        0.114596        0.180225        0.114596        0.180225        0.114596        0.180225        0.114596        0.180225        0.114596
      0.54        -1.47991        0.245394       -0.030471         0.12668        0.173807        0.116731        0.188407        0.116195        0.189134        0.116173        0.189162        0.116172        0.189163        0.116172        0.189163        0.116172        0.189163        0.116172        0.189163        0.116172
      0.55        -1.50144        0.252199       -0.032528        0.128944        0.181902        0.118325        0.197582         0.11774        0.198379        0.117716        0.198411        0.117715        0.198412        0.117715        0.198412        0.117715        0.198412        0.117715        0.198412        0.117715
      0.56        -1.52197        0.259057      -0.0346438        0.131209        0.190248        0.119887        0.207068        0.119249        0.207941        0.119223        0.207976        0.119222        0.207977        0.119222        0.207977        0.119222        0.207977        0.119222        0.207977        0.119222
      0.57         -1.5415        0.265963      -0.0368166        0.133476        0.198849        0.121417        0.216871        0.120723        0.217826        0.120693        0.217865        0.120692        0.217866        0.120692        0.217866        0.120692        0.217866        0.120692        0.217866        0.120692
      0.58        -1.56004        0.272914      -0.0390444        0.135743         0.20771        0.122914        0.226999         0.12216        0.228041        0.122126        0.228085        0.122125        0.228086        0.122125        0.228086        0.122125        0.228086        0.122125        0.228086        0.122125
      0.59         -1.5776        0.279907      -0.0413253        0.138012        0.216836        0.124377        0.237458        0.123558        0.238594        0.123521        0.238642         0.12352        0.238644         0.12352        0.238644         0.12352        0.238644         0.12352        0.238644         0.12352
       0.6        -1.59418        0.286937      -0.0436571        0.140283         0.22623        0.125805        0.248255        0.124917        0.249491        0.124877        0.249544        0.124875        0.249546        0.124875        0.249546        0.124875        0.249546        0.124875        0.249546        0.124875
      0.61        -1.60981        0.294003       -0.046038        0.142555        0.235898        0.127197        0.259395        0.126236        0.260739        0.126192        0.260798         0.12619        0.260801         0.12619        0.260801         0.12619        0.260801         0.12619        0.260801         0.12619
      0.62         -1.6245          0.3011      -0.0484659        0.144829        0.245843        0.128553        0.270886        0.127514        0.272345        0.127465        0.272411        0.127463        0.272413        0.127463        0.272413        0.127463        0.272413        0.127463        0.272413        0.127463
      0.63        -1.63828        0.308226      -0.0509388        0.147106         0.25607        0.129872        0.282734         0.12875        0.284316        0.128696        0.284388        0.128694        0.284391        0.128694        0.284391        0.128694        0.284391        0.128694        0.284391        0.128694
      0.64        -1.65117        0.315377      -0.0534548        0.149384        0.266584        0.131153        0.294945        0.129942        0.296658        0.129883        0.296737         0.12988         0.29674         0.12988         0.29674         0.12988         0.29674         0.12988         0.29674         0.12988
      0.65         -1.6632        0.322551      -0.0560118        0.151665        0.277387        0.132395        0.307524         0.13109        0.309377        0.131025        0.309464        0.131022        0.309468        0.131022        0.309468        0.131022        0.309468        0.131022        0.309468        0.131022
      0.66         -1.6744        0.329744      -0.0586081        0.153949        0.288485        0.133598        0.320477        0.132193        0.322479        0.132121        0.322575        0.132118        0.322579        0.132118        0.322579        0.132118        0.322579        0.132118        0.322579        0.132118
      0.67        -1.68481        0.336954      -0.0612418        0.156235         0.29988        0.134759        0.333811        0.133248         0.33597         0.13317        0.336076        0.133167         0.33608        0.133167         0.33608        0.133167         0.33608        0.133167         0.33608        0.133167
      0.68        -1.69444        0.344178      -0.0639111        0.158524        0.311576        0.135879        0.347529        0.134256        0.349856        0.134171        0.349972        0.134167        0.349976        0.134167        0.349976        0.134167        0.349976        0.134167        0.349976        0.134167
      0.69        -1.70333        0.351414      -0.0666143        0.160816        0.323578        0.136957        0.361636        0.135215        0.364141        0.135122        0.364268        0.135118        0.364273        0.135118        0.364273        0.135118        0.364273        0.135118        0.364273        0.135118
       0.7        -1.71152        0.358659      -0.0693495         0.16311        0.335886        0.137991        0.376137        0.136124        0.378831        0.136022        0.378969        0.136018        0.378974        0.136017        0.378975        0.136017        0.378975        0.136017        0.378975        0.136017
      0.71        -1.71904         0.36591      -0.0721153        0.165408        0.348506        0.138982        0.391036        0.136981        0.393928         0.13687        0.394079        0.136865        0.394085        0.136865        0.394085        0.136865        0.394085        0.136865        0.394085        0.136865
      0.72        -1.72592        0.373167      -0.0749101        0.167709        0.361438        0.139926        0.406335        0.137786        0.409438        0.137665        0.409601         0.13766        0.409608         0.13766        0.409609         0.13766        0.409609         0.13766        0.409609         0.13766
      0.73         -1.7322        0.380426      -0.0777324        0.170013        0.374686        0.140825        0.422037        0.138537        0.425362        0.138406         0.42554          0.1384        0.425548          0.1384        0.425548          0.1384        0.425548          0.1384        0.425548          0.1384
      0.74        -1.73789        0.387685      -0.0805807        0.172321         0.38825        0.141677        0.438145        0.139233        0.441702        0.139091        0.441896        0.139084        0.441905        0.139084        0.441905        0.139084        0.441905        0.139084        0.441905        0.139084
      0.75        -1.74304        0.394943      -0.0834536        0.174631        0.402132        0.142481         0.45466        0.139873        0.458462        0.139719        0.458672        0.139712        0.458681        0.139712        0.458682        0.139712        0.458682        0.139712        0.458682        0.139712
      0.76        -1.74767        0.402199        -0.08635        0.176946        0.416334        0.143236        0.471582        0.140456         0.47564        0.140289        0.475868        0.140281        0.475878        0.140281        0.475879        0.140281        0.475879        0.140281        0.475879        0.140281
