18 November 2018 01:39:16 PM

ODE_PRB
  C++ version
  Test the ODE library.

TEST01
  ODE solves a system of ordinary differential
  equations.

      T              v1              w1              v2              w2              v3              w3              v4              w4              v5              w5              v6              w6              v7              w7              v8              w8              v9              w9              v10              w10              
      0.44        -1.11962        0.176493        0.238472       0.0939637        0.105398       0.0992188        0.112879       0.0989936         0.11258       0.0990009        0.112588       0.0990007        0.112591       0.0990007        0.112655       0.0989987         0.11386        0.098954        0.132691       0.0981834
      0.45        -1.14641        0.182292        0.252739       0.0953927          0.1112        0.101091        0.119369         0.10084        0.119034        0.100848        0.119045        0.100848        0.119048        0.100848        0.119118        0.100846        0.120425        0.100797         0.14091       0.0999631
      0.46        -1.17263        0.188163        0.267567       0.0967694        0.117205        0.102938        0.126112         0.10266        0.125739        0.102669         0.12575        0.102669        0.125754        0.102669        0.125831        0.102666        0.127249        0.102613        0.149647         0.10171
      0.47        -1.19825        0.194105        0.282964       0.0980922        0.123419         0.10476        0.133115        0.104452        0.132699        0.104462        0.132712        0.104462        0.132716        0.104462          0.1328        0.104459         0.13434        0.104401        0.158691        0.103422
      0.48        -1.22322        0.200115        0.298941       0.0993593        0.129844        0.106556        0.140384        0.106215        0.139921        0.106227        0.139936        0.106227        0.139941        0.106227        0.140033        0.106224        0.141704        0.106161          0.1683        0.105099
      0.49         -1.2475        0.206192        0.315504        0.100569        0.136485        0.108326        0.147927        0.107949        0.147412        0.107963        0.147429        0.107962        0.147434        0.107962        0.147535        0.107959        0.149349         0.10789        0.178294        0.106739
       0.5        -1.27106        0.212332        0.332663        0.101719        0.143347        0.110069        0.155749        0.109653        0.155178        0.109668        0.155198        0.109668        0.155203        0.109668        0.155313        0.109664        0.157283        0.109589        0.188677         0.10834
      0.51        -1.29387        0.218532        0.350423        0.102808        0.150433        0.111783        0.163858        0.111325        0.163227        0.111343        0.163248        0.111343        0.163255        0.111342        0.163375        0.111338        0.165513        0.111257        0.199641        0.109902
      0.52         -1.3159        0.224791         0.36879        0.103834        0.157748        0.113469        0.172261        0.112966        0.171564        0.112986        0.171588        0.112985        0.171595        0.112985        0.171727        0.112981        0.174047        0.112892        0.211002        0.111422
      0.53        -1.33713        0.231105         0.38777        0.104795        0.165297        0.115126        0.180965        0.114574        0.180196        0.114596        0.180224        0.114596        0.180232        0.114596        0.180375        0.114591        0.182893        0.114494        0.222905          0.1129
      0.54        -1.35755        0.237472        0.407366        0.105689        0.173083        0.116753        0.189978        0.116149        0.189132        0.116173        0.189162        0.116172        0.189171        0.116172        0.189328        0.116167        0.192059        0.116062        0.235269        0.114334
      0.55        -1.37713        0.243888        0.427579        0.106515        0.181111        0.118349        0.199307        0.117688        0.198376        0.117716        0.198411        0.117715         0.19842        0.117714        0.198591        0.117709        0.201553        0.117594        0.248122        0.115721
      0.56        -1.39587        0.250351        0.448413         0.10727        0.189385        0.119914        0.208959        0.119192        0.207937        0.119223        0.207976        0.119222        0.207987        0.119221        0.208172        0.119215        0.211384        0.119091        0.261546        0.117061
      0.57        -1.41376        0.256857        0.469865        0.107953        0.197911        0.121447        0.218942        0.120659        0.217822        0.120693        0.217865        0.120692        0.217877        0.120692        0.218079        0.120685        0.221558         0.12055        0.275491        0.118352
      0.58         -1.4308        0.263405        0.491933        0.108561        0.206692        0.122947        0.229263        0.122088        0.228036        0.122126        0.228084        0.122125        0.228098        0.122125        0.228318        0.122117        0.232085         0.12197        0.289871        0.119592
      0.59        -1.44699         0.26999        0.514614        0.109094        0.215733        0.124413        0.239929        0.123479        0.238588        0.123521        0.238642         0.12352        0.238657        0.123519        0.238897        0.123511        0.242973        0.123352         0.30499         0.12078
       0.6        -1.46233        0.276611        0.537901        0.109548        0.225039        0.125845        0.250948         0.12483        0.249485        0.124877        0.249544        0.124875         0.24956        0.124875        0.249822        0.124865        0.254229        0.124692        0.320511        0.121914
      0.61        -1.47683        0.283263        0.561785        0.109923        0.234614        0.127241        0.262328         0.12614        0.260732        0.126192        0.260798         0.12619        0.260816        0.126189          0.2611        0.126179        0.265862        0.125991        0.336698        0.122992
      0.62         -1.4905        0.289944        0.586257        0.110216        0.244463        0.128602        0.274075        0.127408        0.272338        0.127465        0.272411        0.127463         0.27243        0.127462        0.272739        0.127451         0.27788        0.127248        0.353306        0.124012
      0.63        -1.50336        0.296652        0.611302        0.110426        0.254591        0.129925        0.286196        0.128633        0.284307        0.128696        0.284388        0.128694         0.28441        0.128693        0.284745        0.128681         0.29029         0.12846        0.370466        0.124974
      0.64        -1.51542        0.303384        0.636905        0.110551        0.265002        0.131211        0.298699        0.129814        0.296648        0.129883        0.296737         0.12988        0.296761         0.12988        0.297125        0.129866          0.3031        0.129627        0.388339        0.125874
      0.65        -1.52669        0.310136        0.663047         0.11059          0.2757        0.132459        0.311591        0.130949        0.309366        0.131025        0.309464        0.131022         0.30949        0.131021        0.309885        0.131007        0.316318        0.130747        0.406735        0.126712
      0.66         -1.5372        0.316907        0.689706         0.11054        0.286691        0.133667        0.324877        0.132037        0.322467        0.132121        0.322575        0.132118        0.322603        0.132117        0.323031        0.132101         0.32995         0.13182        0.425631        0.127486
      0.67        -1.54697        0.323693        0.716857        0.110402        0.297978        0.134834        0.338565        0.133078        0.335957         0.13317        0.336075        0.133167        0.336107        0.133166         0.33657        0.133148        0.344004        0.132844        0.445122        0.128194
